Tumor_Sample_Barcode,Chromosome,Start,End,Segment_Mean,LOH
TCGA-02-0033-01,1,3218923,18444009,0.0,False
TCGA-02-0033-01,1,18445939,18503814,0.5360529002402099,False
TCGA-02-0033-01,1,18504396,247812431,0.0,False
TCGA-02-0033-01,2,499482,242471730,0.0,False
TCGA-02-0033-01,3,2217011,197534959,0.0,False
TCGA-02-0033-01,4,1053934,188763651,0.0,False
TCGA-02-0033-01,5,918523,180359733,0.0,False
TCGA-02-0033-01,6,1016984,170898549,0.0,False
TCGA-02-0033-01,7,746917,158385118,0.2927817492278459,False
TCGA-02-0033-01,8,617885,145225107,0.0,False
TCGA-02-0033-01,9,790234,140938075,0.0,False
TCGA-02-0033-01,10,423671,135224372,-0.3677317845004871,True
TCGA-02-0033-01,11,458784,134142530,0.0,False
TCGA-02-0033-01,12,889902,96159659,0.0,False
TCGA-02-0033-01,12,96160211,133161346,0.0,False
TCGA-02-0033-01,13,19450806,114987333,-0.3677317845004871,True
TCGA-02-0033-01,14,20501368,58894577,0.0,False
TCGA-02-0033-01,14,58947365,67789557,-0.3677317845004871,True
TCGA-02-0033-01,14,67791252,105971894,0.0,False
TCGA-02-0033-01,15,23688944,101884307,0.0,False
TCGA-02-0033-01,16,655262,89379936,0.0,False
TCGA-02-0033-01,17,987221,80909157,-0.3677317845004871,True
TCGA-02-0033-01,18,331827,77109240,0.0,False
TCGA-02-0033-01,19,292583,58866434,0.0,False
TCGA-02-0033-01,20,456452,62219837,0.0,False
TCGA-02-0033-01,21,15372509,47678774,0.0,False
TCGA-02-0033-01,22,17423930,49331012,0.0,False
TCGA-02-0055-01,1,3218923,29100792,0.3504972470841331,False
TCGA-02-0055-01,1,29140748,107400830,0.3504972470841331,False
TCGA-02-0055-01,1,107404931,247812431,0.3504972470841331,False
TCGA-02-0055-01,2,499482,83957210,0.3504972470841331,False
TCGA-02-0055-01,2,83963656,242471730,0.3504972470841331,False
TCGA-02-0055-01,3,2217011,35630423,0.3504972470841331,False
TCGA-02-0055-01,3,35637909,109021175,0.3504972470841331,False
TCGA-02-0055-01,3,109027157,131005245,0.0,True
TCGA-02-0055-01,3,131006658,197534959,0.3504972470841331,False
TCGA-02-0055-01,4,1053934,188763651,0.632268215499513,False
TCGA-02-0055-01,5,918523,55651875,0.3504972470841331,False
TCGA-02-0055-01,5,55653270,77117097,0.3504972470841331,False
TCGA-02-0055-01,5,77120058,115533407,0.3504972470841331,False
TCGA-02-0055-01,5,115541277,180359733,0.3504972470841331,False
TCGA-02-0055-01,6,1016984,170898549,0.3504972470841331,False
TCGA-02-0055-01,7,746917,158385118,0.632268215499513,False
TCGA-02-0055-01,8,617885,145225107,0.632268215499513,False
TCGA-02-0055-01,9,790234,140938075,0.3504972470841331,False
TCGA-02-0055-01,10,423671,135224372,0.0,True
TCGA-02-0055-01,11,458784,134142530,0.3504972470841331,False
TCGA-02-0055-01,12,889902,12671104,0.0,True
TCGA-02-0055-01,12,12674965,12868452,-1.15200309344505,True
TCGA-02-0055-01,12,12879570,133161346,0.0,True
TCGA-02-0055-01,13,19450806,114987333,0.0,True
TCGA-02-0055-01,14,20501368,49327879,0.0,True
TCGA-02-0055-01,14,49334734,105971894,0.0,True
TCGA-02-0055-01,15,23688944,101884307,0.3504972470841331,False
TCGA-02-0055-01,16,655262,89379936,0.3504972470841331,False
TCGA-02-0055-01,17,987221,29508775,0.0,True
TCGA-02-0055-01,17,29530709,29639590,-1.15200309344505,True
TCGA-02-0055-01,17,29652456,74035444,0.0,True
TCGA-02-0055-01,17,74036468,80909157,0.0,True
TCGA-02-0055-01,18,331827,77109240,0.3504972470841331,False
TCGA-02-0055-01,19,292583,58866434,0.3504972470841331,False
TCGA-02-0055-01,20,456452,62219837,0.632268215499513,False
TCGA-02-0055-01,21,15372509,41540088,0.632268215499513,False
TCGA-02-0055-01,21,41546053,41966859,0.0,True
TCGA-02-0055-01,21,41980093,47678774,0.632268215499513,False
TCGA-02-0055-01,22,17423930,49331012,0.3504972470841331,False
TCGA-02-2470-01,1,3218923,70999657,0.0,False
TCGA-02-2470-01,1,71002192,203905103,0.0,False
TCGA-02-2470-01,1,203923544,205122529,1.2172307162206693,False
TCGA-02-2470-01,1,205134090,247812431,0.0,False
TCGA-02-2470-01,2,499482,242471730,0.0,False
TCGA-02-2470-01,3,2217011,42245515,0.0,False
TCGA-02-2470-01,3,42249636,43527252,0.3391373849195855,False
TCGA-02-2470-01,3,43557505,197534959,0.0,False
TCGA-02-2470-01,4,1053934,34662438,0.0,False
TCGA-02-2470-01,4,34673315,127356898,0.0,False
TCGA-02-2470-01,4,127364125,188763651,0.0,False
TCGA-02-2470-01,5,918523,168493053,0.0,False
TCGA-02-2470-01,5,168496090,180359733,0.0,False
TCGA-02-2470-01,6,1016984,170898549,0.0,False
TCGA-02-2470-01,7,746917,158385118,0.3391373849195855,False
TCGA-02-2470-01,8,617885,145225107,0.0,False
TCGA-02-2470-01,9,790234,19565588,0.0,True
TCGA-02-2470-01,9,19569670,22455892,-1.0892673380970874,True
TCGA-02-2470-01,9,22463201,71039044,0.0,True
TCGA-02-2470-01,9,71039940,140938075,-0.4441838449383603,True
TCGA-02-2470-01,10,423671,135224372,0.0,True
TCGA-02-2470-01,11,458784,116009138,0.0,False
TCGA-02-2470-01,11,116024275,116958533,1.2172307162206693,False
TCGA-02-2470-01,11,116972935,134142530,0.0,False
TCGA-02-2470-01,12,889902,133161346,0.0,False
TCGA-02-2470-01,13,19450806,114987333,0.0,False
TCGA-02-2470-01,14,20501368,76657756,0.0,False
TCGA-02-2470-01,14,76665740,77698980,0.3391373849195855,False
TCGA-02-2470-01,14,77699933,105971894,0.0,False
TCGA-02-2470-01,15,23688944,31135789,0.0,False
TCGA-02-2470-01,15,31148176,31863960,-0.4441838449383603,True
TCGA-02-2470-01,15,31869519,31930337,0.0,False
TCGA-02-2470-01,15,31947951,62626188,-0.4441838449383603,True
TCGA-02-2470-01,15,62632437,62911222,0.0,False
TCGA-02-2470-01,15,62916672,66117334,-0.4441838449383603,True
TCGA-02-2470-01,15,66118459,67054961,0.0,True
TCGA-02-2470-01,15,67055046,67809663,-0.4441838449383603,True
TCGA-02-2470-01,15,67837408,80443036,0.0,False
TCGA-02-2470-01,15,80446825,96285629,-0.4441838449383603,True
TCGA-02-2470-01,15,96297050,101884307,0.0,False
TCGA-02-2470-01,16,655262,60922505,0.0,False
TCGA-02-2470-01,16,60922583,89379936,-0.4441838449383603,True
TCGA-02-2470-01,17,987221,80909157,0.0,False
TCGA-02-2470-01,18,331827,14620707,-0.4441838449383603,True
